Date,Signal,Entry,Exit,Quantity,PnL,Balance
2026-07-11 00:24:00,SELL_SL,64146.23,63820.8,0.307289,-100.0,5165.52
2026-07-11 00:30:25,SELL,63794.9,0,0.397516,0,5165.52
2026-07-11 00:39:03,BUY_SL,63794.9,63543.34,0.397516,100.0,5265.52
2026-07-11 00:45:26,SELL,63880.07,0,0.41102,0,5265.52
2026-07-11 00:54:04,BUY_SL,63880.07,63636.77,0.41102,100.0,5365.52
2026-07-11 01:00:28,SELL,63861.08,0,0.417427,0,5365.52
2026-07-11 01:09:06,BUY_SL,63861.08,63621.52,0.417427,100.0,5465.52
2026-07-11 02:00:30,SELL,63724.44,0,0.405146,0,5465.52
2026-07-11 02:09:08,BUY_SL,63724.44,63477.62,0.405146,100.0,5565.52
2026-07-11 04:45:34,BUY,64124.24,0,0.551329,0,5565.52
2026-07-11 07:09:18,SELL_SL,64124.24,64124.74,0.551329,0.28,5565.8
2026-07-11 10:03:31,BUY,64173.98,0,0.714096,0,5565.8
2026-07-11 15:29:40,SELL_SL,64173.98,64174.48,0.714096,0.36,5566.16
